2020-10-02 18:53:46.055 [main] INFO  com.shine.faas.admin.FaasAdminServiceApplication - Starting FaasAdminServiceApplication on wanc-desktop with PID 11820 (started by Administrator in C:\Users\Administrator\OneDrive - The University of Melbourne\SWEN90016-SPM\Assignment2\SWEN90016-A2\backend)
2020-10-02 18:53:46.060 [main] INFO  com.shine.faas.admin.FaasAdminServiceApplication - No active profile set, falling back to default profiles: default
2020-10-02 18:53:46.844 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6b3dc14f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-02 18:53:47.133 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7000 (http)
2020-10-02 18:53:47.144 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7000"]
2020-10-02 18:53:47.150 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-02 18:53:47.150 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
2020-10-02 18:53:47.252 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-02 18:53:47.252 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1164 ms
2020-10-02 18:53:47.519 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-02 18:53:47.678 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7000"]
2020-10-02 18:53:47.694 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 7000 (http) with context path ''
2020-10-02 18:53:47.697 [main] INFO  com.shine.faas.admin.FaasAdminServiceApplication - Started FaasAdminServiceApplication in 1.874 seconds (JVM running for 2.514)
2020-10-02 18:53:47.700 [main] INFO  com.shine.faas.admin.FaasAdminServiceApplication - 启动完成...
2020-10-02 18:53:47.704 [main] INFO  com.zaxxer.hikari.HikariDataSource - MyHikariCP - Starting...
2020-10-02 18:53:51.465 [main] INFO  com.zaxxer.hikari.HikariDataSource - MyHikariCP - Start completed.
